n,max,empty
1900,6,701
1900,6,706
1900,7,679
2000,6,737
2000,6,752
2000,6,715
2000,6,729
2000,6,747
2000,6,739
2000,5,721
2000,5,768
2000,6,740
2000,6,758
2000,7,720
2000,5,734
2000,7,731
2000,6,754
2000,5,735
2000,7,726
2000,5,716
2000,7,774
2000,5,748
2000,8,732
2000,6,762
2000,6,717
2000,6,726
2000,7,724
2000,6,772
2000,6,722
2000,5,744
2000,6,739
2000,6,763
2000,6,730
2000,6,719
2000,6,721
2000,6,733
2000,5,707
2000,5,723
2000,6,745
2000,5,716
2000,6,743
2000,6,748
2000,6,719
2000,6,713
2000,5,725
2000,6,748
2000,6,768
2000,5,734
2000,8,713
2000,6,723
2000,6,737
2000,6,707
2000,6,734
2000,7,749
2000,5,736
2000,5,736
2000,6,739
2000,6,746
2000,5,735
2000,5,726
2000,6,746
2000,5,744
2000,6,736
2000,6,738
2000,5,729
2000,6,712
2000,5,718
2000,5,730
2000,6,744
2000,7,744
2000,5,751
2000,5,737
2000,7,754
2000,6,724
2000,7,708
2000,5,743
2000,7,735
2000,7,702
2000,5,731
2000,6,762
2000,6,720
2000,5,728
2000,6,735
2000,6,734
2000,6,706
2000,8,728
2000,6,740
2000,5,721
2000,5,758
2000,5,758
2000,5,734
2000,6,763
2000,5,754
2000,6,710
2000,5,731
2000,5,751
2000,5,751
2000,5,740
2000,5,745
2000,6,717
2000,6,743
2000,5,710
2000,5,726
2100,6,753
2100,6,765
2100,6,780
2100,6,778
2100,6,777
2100,6,766
2100,5,769
2100,5,773
2100,6,761
2100,7,776
2100,6,793
2100,5,787
2100,5,778
2100,6,759
2100,6,789
2100,6,771
2100,6,780
2100,6,750
2100,6,752
2100,5,741
2100,7,759
2100,5,773
2100,5,774
2100,5,759
2100,5,762
2100,6,772
2100,5,785
2100,7,759
2100,6,764
2100,6,750
2100,5,761
2100,6,777
2100,6,787
2100,5,777
2100,8,760
2100,6,776
2100,5,795
2100,5,784
2100,5,777
2100,6,780
2100,6,752
2100,6,786
2100,5,757
2100,6,783
2100,6,776
2100,6,734
2100,6,798
2100,6,787
2100,5,788
2100,6,789
2100,7,779
2100,5,784
2100,6,783
2100,6,750
2100,6,778
2100,5,778
2100,6,787
2100,6,751
2100,6,770
2100,7,765
2100,5,798
2100,6,767
2100,7,776
2100,5,758
2100,6,766
2100,6,781
2100,6,769
2100,6,758
2100,5,779
2100,6,773
2100,6,766
2100,7,793
2100,5,754
2100,5,796
2100,5,765
2100,5,747
2100,6,767
2100,6,769
2100,5,759
2100,6,738
2100,6,787
2100,6,756
2100,6,820
2100,6,780
