N,removed,diff,iterations
200,769,408,65227
200,796,408,67448
200,774,408,65558
200,749,408,64373
200,780,408,65965
200,745,408,63927
200,786,408,66711
200,753,408,64430
200,777,408,66574
200,763,408,65125
200,777,408,66318
200,770,408,65540
200,778,408,66076
200,754,408,64528
200,758,408,64729
200,768,408,65591
200,756,408,64514
200,795,408,66896
200,790,408,66572
200,791,408,66599
200,757,408,64819
200,764,408,64961
200,746,408,64096
200,767,408,65346
200,753,408,64456
200,787,408,66294
200,754,408,64666
200,790,408,67020
200,766,408,65104
200,781,408,65927
200,784,408,66215
200,760,408,64780
200,745,408,63983
200,760,408,65411
200,770,408,65064
200,769,408,65532
200,796,408,67206
200,794,408,66770
200,776,408,66351
200,784,408,66852
200,768,408,65023
200,765,408,65386
200,759,408,64730
200,752,408,64337
200,737,408,63694
200,788,408,67212
200,748,408,64310
200,792,408,67119
200,794,408,66749
200,799,408,67981
200,790,408,66647
200,803,408,67415
200,772,408,66077
200,777,408,66038
200,737,408,63473
200,752,408,64960
200,784,408,66407
200,762,408,64915
200,764,408,65230
200,785,408,66343
200,739,408,64003
200,788,408,66298
200,805,408,67462
200,745,408,64024
200,776,408,65627
200,778,408,65976
200,793,408,66812
200,754,408,64901
200,783,408,65986
200,767,408,65160
200,779,408,66109
200,739,408,63825
200,755,408,64396
200,755,408,64483
200,768,408,65811
200,741,408,63840
200,742,408,64536
200,740,408,63676
200,810,408,68051
200,767,408,65645
200,766,408,65419
200,775,408,65806
200,776,408,65750
200,744,408,63787
200,783,408,66538
200,739,408,63774
200,771,408,65357
200,734,408,63721
200,753,408,64565
200,742,408,63589
200,754,408,64651
200,761,408,64846
200,773,408,65478
200,794,408,67096
200,762,408,65323
200,792,408,66703
200,801,408,66836
200,786,408,66606
200,775,408,65606
200,748,408,63946
200,761,408,64686
200,747,408,64392
200,769,408,65761
200,756,408,65189
200,780,408,66681
200,775,408,65280
200,759,408,64795
200,766,408,65305
200,747,408,64034
200,738,408,63783
200,762,408,65052
200,785,408,66555
200,809,408,68327
200,783,408,66510
200,786,408,66067
200,798,408,66917
200,765,408,65301
200,763,408,65074
200,760,408,64712
200,746,408,64022
200,763,408,65647
200,739,408,63697
200,772,408,65594
200,751,408,64270
200,784,408,66236
200,750,408,64512
200,779,408,66060
200,787,408,66464
200,775,408,65859
200,785,408,66650
200,801,408,67695
200,782,408,66601
200,801,408,67631
200,756,408,64709
200,771,408,65665
200,777,408,65656
200,805,408,67883
200,779,408,65833
